State,homelessness_change_10_years,public_assistance_change_10_years
Alabama,631,"-1,399"
Alaska,730,"-4,869"
Arizona,4841,"9,089"
Arkansas,223,"-4,763"
California,71346,"55,932"
Colorado,8762,"12,039"
Connecticut,-637,"-14,514"
Delaware,405,"1,719"
District of Columbia,-1682,"7,000"
Florida,-4538,"27,139"
Georgia,-1500,"8,713"
Hawaii,4017,"3,648"
Idaho,784,-198
Illinois,12655,"14,188"
Indiana,422,"2,366"
Iowa,-450,"-4,847"
Kansas,205,"-1,724"
Kentucky,693,"-2,244"
Louisiana,-612,"3,703"
Maine,330,"-3,710"
Maryland,-2321,"10,965"
Massachusetts,8225,"27,994"
Michigan,-777,"-4,746"
Minnesota,1655,"-5,487"
Mississippi,-942,"-2,823"
Missouri,830,"-9,878"
Montana,299,"3,552"
Nebraska,-24,"4,238"
Nevada,1363,"-1,335"
New Hampshire,800,"-4,200"
New Jersey,2664,"-1,529"
New Mexico,2002,"7,580"
New York,69769,"98,889"
North Carolina,941,"5,185"
North Dakota,-440,"1,082"
Ohio,577,"-49,060"
Oklahoma,1690,"-1,100"
Oregon,9649,-522
Pennsylvania,-1333,"16,682"
Rhode Island,1331,"2,531"
South Carolina,-761,270
South Dakota,302,-571
Tennessee,-843,"-16,948"
Texas,4309,"57,130"
Utah,844,"2,889"
Vermont,1935,"2,063"
Virginia,140,"12,006"
Washington,12135,"8,976"
West Virginia,-56,"11,288"
Wisconsin,-1008,"-6,266"
Wyoming,-297,21
