State,homelessness_change_10_years,employment_change
Alabama,631,-3.0
Alaska,730,-1.9000000000000004
Arizona,4841,-2.3000000000000007
Arkansas,223,-2.0
California,71346,-1.3999999999999997
Colorado,8762,-0.9000000000000004
Connecticut,-637,-2.0
Delaware,405,-0.7000000000000002
District of Columbia,-1682,-1.7000000000000002
Florida,-4538,-2.4000000000000004
Georgia,-1500,-2.3999999999999995
Hawaii,4017,-1.5000000000000004
Idaho,784,-1.7000000000000002
Illinois,12655,-1.8000000000000007
Indiana,422,-1.7000000000000002
Iowa,-450,-1.0
Kansas,205,-1.0
Kentucky,693,-1.5999999999999996
Louisiana,-612,-1.8999999999999997
Maine,330,-2.7
Maryland,-2321,-1.2000000000000002
Massachusetts,8225,-1.7000000000000002
Michigan,-777,-2.7
Minnesota,1655,-0.5
Mississippi,-942,-4.300000000000001
Missouri,830,-2.0
Montana,299,-1.5
Nebraska,-24,0.1999999999999997
Nevada,1363,-1.6000000000000003
New Hampshire,800,-1.4000000000000004
New Jersey,2664,-1.1999999999999993
New Mexico,2002,-2.1000000000000005
New York,69769,-1.2000000000000002
North Carolina,941,-2.9000000000000004
North Dakota,-440,-0.7000000000000002
Ohio,577,-2.4000000000000004
Oklahoma,1690,-0.7999999999999998
Oregon,9649,-1.8999999999999997
Pennsylvania,-1333,-2.0
Rhode Island,1331,-1.2000000000000002
South Carolina,-761,-2.8
South Dakota,302,-1.2000000000000002
Tennessee,-843,-2.0
Texas,4309,-0.7000000000000002
Utah,844,-0.2000000000000001
Vermont,1935,-1.0999999999999996
Virginia,140,-1.9
Washington,12135,-1.0999999999999996
West Virginia,-56,-2.7
Wisconsin,-1008,-1.1999999999999995
Wyoming,-297,-1.4
